Pillar_ID,Indicator_ID,Category (Policy issue),Criteria for scoring,"Possible scores 
[0 =simplified; 1 = heavily regulated]"
1,Tariffs and Trade Defence,,,
,1.1,Effectively applied tariffs on ICT goods (in weighted average) imported from other economies within the considered United Nations region (%),Linear function: f(x) = 0.1x (≥10 gives 1),Formula
,1.2,No duty-free tariff lines on ICT goods from other economies within the considered United Nations region (%),Linear function: f(x) = -0.025x+1.75 (≤30 gives 1; ≥70 gives 0),Formula
,1.3,Not in the WTO Information Technology Agreement (ITA) of 1996 (ITA I) and its expansion in 2015 (ITA II),"1) No
2) Only ITA I
3) Both ITA I and ITA II","1
0.5
0
"
,1.4,"Trade defence measures including anti-dumping, countervailing duties and safeguards on ICT-related goods imported by other economies within the considered United Nations region","1) More than three measures
2) Three measures
3) Two measures
4) One measure
5) No measure
(0.25 for each measure, up to 1)","1
0.75
0.50
0.25
0"
2,Public Procurement ,,,
,2.1,Foreign exclusions from public procurement related to ICT goods and digital services,"1) For any legislative measure excludes foreign firms from public procurement under any circumstances, or more than one measure under category (2)
2) For any legislative measure excludes a specific (group) of foreign firm(s) from public procurement
3) No measure (when there is only a legal basis that grants the government the power to exclude foreign firms)","1
0.5
0"
,2.2,"Specific requirements on source codes, encryption and trade secrets ","1) For any requirement to surrender patents, source codes or trade secrets as a condition for participating in tenders
2) For any requirement to use specific encryption to win tenders
3) No measure","1
0.5
0"
,2.3,Limitations in procurement bidding,"1) For any measure that directly discriminate against foreign bidders OR more than one measure under category (2)
2) For any measures measure that applies to all bidders, such as local content requirements and performance-based conditions
3) No measure (when there is only a legal basis that grants the government the power to impose limitations in procurement bidding)","1
0.5
0"
,2.4,"Not in the WTO Government Procurement Agreement (GPA) and not fully covered the three most relevant services sectors (CPC752, 754, 84)","1) Not a signatory of the WTO GPA OR a country is a GPA signatory but has not fully covered the three most relevant services sectors (CPC 752, 754, 84)
2) A signatory of the WTO GPA and has signed at least one of the three key services sectors relevant to digital trade (CPC 752, 754, 84)
3) A signatory of the WTO GPA and has signed all three key services sectors relevant to digital trade (CPC 752, 754, 84)","1
0.5
0"
3,Foreign Direct Investment ,,,
,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)","1) Ban (0%) in at least one sector OR if only a minority stake in more than one sector
2) A minority stake (1-50%) allowed in one sector
3) A controlling stake (51-99%) allowed OR restrictions only exist in SOEs
4) Full ownership (100%) allowed in relevant for digital trade","1
0.8
0.5
0"
,3.2,Joint venture requirements,"1) For any measure 
2) No measure","1
0"
,3.3,Nationality or residency requirements for board of directors or managers,"1) For any measure 
2) No measure","1
0"
,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ","1) A case that the screening mechanism has been used to block an investment in a sector relevant for digital trade
2) Two or more investment screening mechanisms 
3) A screening mechanism
4) No screening mechanism","1
0.5
0.25
0"
,3.5,Commercial presence requirements to offer cross-border services in sectors relevant to digital trade,"1) For any measure
2) No measure","1
0"
4,Intellectual Property Rights ,,,
,4.01,Patent application issues,"1) Differential treatment between local and foreign firms, requirements to appoint local representative, and a rejection of patent application in a discriminatory manner. 
2) Non-transparent process, high filing fees, high registration costs, substantive examination, and the requirement to file a patent locally before filing abroad. 
3) No restriction","1
0.5
0"
,4.2,Patent enforcement issues: civil and administrative procedures and remedies; and provisional measures,"1) Abesence of civil and administrative procedures and remedies, and provisional measures
2) Adopt civil and administrative procedures and remedies, or provisional measures
3) Adopt civil and administrative procedures and remedies, and provisional measures","1
0.5
0"
,4.3,Patent enforcement issues: others,"1) For any restriction with high impact, when the issue affecting all circumstances and sectors, OR more than one measure of category (2)
2) For any restriction with limited impact, when the issue affecting to a specific circumstance or sector
3) No restriction","1
0.5
0"
,4.4,Not in the WIPO Patent Cooperation Treaty (PCT),"1) Not a member of the WIPO PCT
2) A member of the WIPO PCT","1
0"
,4.5,Lack of copyright framework and exceptions,"1) Lack of copyright legal framework OR lack of copyright exceptions
2) Unclear copyright exceptions, such as three-step test and other types of copyright exceptions
3) Clear copyright exceptions following fair use or fair dealing model","1
0.5
0"
,4.6,Online copyright enforcement issues: civil and administrative procedures and remedies; and provisional measures,"1) Abesence of civil and administrative procedures and remedies, and provisional measures
2) Adopt civil and administrative procedures and remedies, or provisional measures
3) Adopt civil and administrative procedures and remedies, and provisional measures","1
0.5
0"
,4.7,Not in the WIPO Copyright Treaty (WCT),"1) Not a signature of the WIPO WCT
2) A signagure of the WIPO WCT","1
0"
,4.8,Not in the WIPO Performances and Phonograms Treaty (WPPT),"1) Not a signature of the WIPO WPPT
2) A signagure of the WIPO WPPT","1
0"
,4.9,"Mandatory disclosure of trade secrets, such as souce code and algorithms","1) For any disclosure requirement affecting an entire sector or all sectors horizontally OR More than one measure of category (2)
2) For any disclosure requirement of limited impact affecting only specific types of products or specific circumstance (i.e., disclosure due to court order, regulatory proceedings, or national threat provision for certain companies)
3) No measure OR when the Government mandates to disclose trade secrets when necessary to protect the public interest and safeguards against unfair commercial use","1
0.5
0"
,4.10,Lack of effective trade secrets legal framework,"1) Lack of trade secrets legal framework that is able to provide effective protection
2) Limited practice/scope addressing protection of trade secrets OR practices with certain clauses included in the IP law/ relevant law
3) Presence of effective protection of trade secrets protection in any forms","1
0.5
0"
5,Telecom Regulations & Competition,,,
,5.1,Lack of passive infrastructure sharing,"1) No passive infrastructure sharing obligation
2) Passive sharing is not mandated, but it is practiced in the market
3) Passive sharing is mandated","1
0.5
0"
,5.2,Foreign equity limits in telecom sector,"1) Ban (0%) OR if only a minority stake in more than one measures
2) A minority stake (1-50%) allowed 
3) A controlling stake (51-99%) allowed OR restrictions only exist in SOEs
4) Full ownership (100%) allowed in telecommunication sector","1
0.8
0.5
0"
,5.3,Shares owned by the Government in telecom companies,"1) At least one companies with government shares above 50% OR more than one measure of category (2)
2) One company with government shares between 1% and 50% 
3) No shares owned by the government in telecom companies","1
0.5
0"
,5.4,Lack of functional/accounting separation,"1) No funcation/accounting separation is mandated 
2) Only accounting separation is mandated
3) Only functional seperation is mandated
4) Both accounting and functional separations are mandated","1
0.5
0.25
0"
,5.5,Licensing requirements in telecom sector for operators significant market power (SMP),"1) For any strict licensing scheme (e.g., discrimination for foreign providers, minimum capital requirements, and mandatory performances requirements)
2) No strict licensing scheme","1
0"
,5.6,Not in the WTO Telecom Reference Paper,"1) Not appended the WTO Telecom Reference Paper to its schedule of commitments
2) Appended the WTO Telecom Reference Paper to its schedule of commitments","1
0"
,5.7,Lack of independent telecom authority,"1) No independent telecom authority
2) Independent telecom authority is established","1
0"
6,Cross-border Data Policies,,,
,6.1,"Ban and local processing requirements
Exception: Not score data localization measure applied to government data.","1) Ban and/or local processing requirement for all sectors or personal data, OR more than one measure in category (2)
2) Ban and/or local processing  requirement applied to specific sector, specific data, non-personal data, or transfer is prohibited to one country
3) No requirement","1
0.5
0"
,6.2,"Local storage requirements
Exception: Not score data localization measure applied to government data.","1) Local storage requirement for all sectors or personal data, OR more than one measure in category (2)
2) Local storage requirement applied to specific sector, specific data or non-personal data
3) No requirement","1
0.5
0"
,6.3,"Infrastructure requirements
Exception: Not score data localization measure applied to government data.","1) Infrastructure requirement
2) No requirement","1
0"
,6.4,"Conditional flow regimes
Exception: Not score data localization measure applied to government data.","1) Conditions for all sectors or personal data 
2) Conditions for specific data or non-personal data
3) No condition","1
0.5
0"
,6.5,Not in an agreement with binding commitments on data transfer.,"1) Not commit to any binding agreement on data flows
2) Commit to binding agreement on data flows","1
0"
7,Domestic Data Protection & Privacy,,,
,7.1,Lack of comprehensive legal framework for data protection,"1) No data protection legal framework
2) Data protection legal framework only to specific sectors (sectoral law)
3) Comprehensive data protection framework ","1
0.5
0"
,7.2,Lack of dedicated legal framework for cybersecurity,"1) No cybersecurity legal framework
2) Non-dedicated cybersecurity legal framework and/or dedicated cybersecurity law only to specific sectors (sectoral law)
3) Dedicated cybersecurity legal framework (horizontal)","1
0.5
0"
,7.3,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.","1) Minimum period of data retention requirement
2) No data retention requirement","1
0"
,7.4,Data Protection Impact Assessment (DPIA) or Data Protection Officer (DPO) requirements,"1) DPO and DPIA OR only DPO requirement, applied to all sectors
2) DPO and DPIA OR only DPO requirement, applied to a specific sector
3) No requirement","1
0.5
0"
,7.5,Requirements to allow government access to personal data,"1) For any measure that allows government to access data without court orders
2) No measure","1
0"
8,Internet Intermediary Liability,,,
,8.1,Lack of safe harbour for copyright infringements,"1) No intermediary liability framework in place
2) Sectoral framework in place that limits liablity for intermediaries
3) Hoirzontal framework in place that limits liability for intermediaries ","1
0.50
0"
